iter	RMSE
0	9.0849357
1	8.925423732
2	8.730623504
3	8.5634078
4	8.393060622
5	8.222589031
6	8.053840848
7	7.883012767
8	7.733020595
9	7.606011226
10	7.461889537
11	7.319482428
12	7.168634
13	7.052079573
14	6.918772694
15	6.784360409
16	6.654002767
17	6.541501642
18	6.421456447
19	6.296722874
20	6.202895185
21	6.10892731
22	6.000611225
23	5.896525827
24	5.802105293
25	5.719574515
26	5.620603036
27	5.525586125
28	5.440369412
29	5.360424773
30	5.290284673
31	5.207731458
32	5.131301858
33	5.065391377
34	4.997135848
35	4.939691435
36	4.872104747
37	4.81073129
38	4.743084704
39	4.685809955
40	4.620987674
41	4.559002381
42	4.495435767
43	4.446545791
44	4.390186025
45	4.331585978
46	4.276886998
47	4.241594717
48	4.200104644
49	4.149509733
50	4.10044497
51	4.053068385
52	4.009587428
53	3.96508968
54	3.920208413
55	3.877305662
56	3.845649608
57	3.804360581
58	3.766705565
59	3.729654883
60	3.686339326
61	3.656493316
62	3.624042396
63	3.592782967
64	3.569509014
65	3.541965075
66	3.500415099
67	3.46975336
68	3.434560839
69	3.407109055
70	3.379161963
71	3.35597881
72	3.328461743
73	3.308988521
74	3.280922529
75	3.264431009
76	3.245317628
77	3.219757747
78	3.1977028
79	3.17178544
80	3.150938346
81	3.123453297
82	3.104234218
83	3.089427517
84	3.069353818
85	3.049683486
86	3.033745988
87	3.011515436
88	2.992224272
89	2.970748588
90	2.953504448
91	2.937515492
92	2.922222615
93	2.902936204
94	2.88290397
95	2.864896052
96	2.843933915
97	2.834125005
98	2.817035604
99	2.803142139
100	2.790286243
101	2.772132837
102	2.760076632
103	2.744718705
104	2.734086335
105	2.720942247
106	2.708225891
107	2.69537782
108	2.688955907
109	2.671907409
110	2.658005634
111	2.64203073
112	2.63365481
113	2.621018621
114	2.6124958
115	2.602311534
116	2.586918989
117	2.576923337
118	2.565698769
119	2.557730367
120	2.549155852
121	2.538990777
122	2.526888136
123	2.513787485
124	2.505957797
125	2.494853269
126	2.481953959
127	2.471393899
128	2.458109952
129	2.451052976
130	2.437850702
131	2.429240033
132	2.419930741
133	2.411683467
134	2.402555501
135	2.391654991
136	2.387944437
137	2.38122133
138	2.371687306
139	2.364887372
140	2.35573936
141	2.350350079
142	2.34381739
143	2.334942476
144	2.322950757
145	2.317316677
146	2.309553984
147	2.302680156
148	2.293758032
149	2.286748823
150	2.280842238
151	2.276967402
152	2.269493401
153	2.260853697
154	2.257611674
155	2.247729199
156	2.240483093
157	2.233526912
158	2.228156838
159	2.222288274
160	2.219504052
161	2.217036414
162	2.210947946
163	2.205910939
164	2.200695751
165	2.192793172
166	2.181806762
167	2.174627171
168	2.167455945
169	2.156310191
170	2.151329509
171	2.143012305
172	2.134328878
173	2.129020928
174	2.124826735
175	2.118606079
176	2.110399106
177	2.102433751
178	2.095782677
179	2.088588481
180	2.082390804
181	2.074081852
182	2.066522828
183	2.063628691
184	2.056209384
185	2.04977297
186	2.045559437
187	2.037738765
188	2.029715257
189	2.023306433
190	2.015387455
191	2.006416732
192	2.00292301
193	1.996569007
194	1.991622655
195	1.984261231
196	1.980818931
197	1.974448045
198	1.971074753
199	1.965096706
200	1.956445813
201	1.953028964
202	1.950649726
203	1.945190514
204	1.940633818
205	1.934013021
206	1.929267107
207	1.924695174
208	1.91962568
209	1.913201589
210	1.90983483
211	1.906074013
212	1.902037961
213	1.896303809
214	1.892500277
215	1.888511851
216	1.883271859
217	1.877847072
218	1.873143935
219	1.870813999
220	1.866861919
221	1.864702202
222	1.861528039
223	1.858418264
224	1.851986787
225	1.848380636
226	1.844839001
227	1.843489982
228	1.840193099
229	1.833210932
230	1.831105152
231	1.828397235
232	1.825315461
233	1.820918863
234	1.818504118
235	1.812685805
236	1.805924118
237	1.80053233
238	1.795022029
239	1.790439704
240	1.783008278
241	1.774670311
242	1.768303034
243	1.765209517
244	1.764295304
245	1.763306369
246	1.756699671
247	1.754627109
248	1.750088368
249	1.745104167
250	1.740590881
251	1.734851403
252	1.7331331
253	1.731591978
254	1.726235852
255	1.723163036
256	1.721233722
257	1.720316674
258	1.717536064
259	1.715303261
260	1.712913544
261	1.710899466
262	1.708418443
263	1.707686133
264	1.704151522
265	1.702432687
266	1.700602072
267	1.699889251
268	1.699263493
269	1.696289127
270	1.692545716
271	1.691234635
272	1.68905749
273	1.687667672
274	1.687153622
275	1.685656064
276	1.682552116
277	1.678512343
278	1.675344168
279	1.670689867
280	1.670079399
281	1.66367554
282	1.663082818
283	1.659000018
284	1.655843778
285	1.653687004
286	1.651832957
287	1.651316992
288	1.648618977
289	1.643651541
290	1.641460451
291	1.638679144
292	1.637713324
293	1.631331651
294	1.625774286
295	1.621109083
296	1.61656582
297	1.612572139
298	1.610473952
299	1.609218916
300	1.603375836
301	1.600801145
302	1.598290665
303	1.59759208
304	1.59588538
305	1.593494988
306	1.58864451
307	1.583744311
308	1.579661164
309	1.579157878
310	1.573165826
311	1.568500573
312	1.56460857
313	1.560268788
314	1.554340617
315	1.5494491
316	1.5446802
317	1.542313989
318	1.540935301
319	1.539599531
320	1.534097338
321	1.529886653
322	1.525011163
323	1.524285341
324	1.519301157
325	1.516554487
326	1.51506764
327	1.514410012
328	1.509104538
329	1.507594495
330	1.50443716
331	1.501629997
332	1.498674533
333	1.498313514
334	1.494631692
335	1.492006263
336	1.49018873
337	1.488268329
338	1.482920694
339	1.480256609
340	1.478824446
341	1.475354889
342	1.472776714
343	1.470147522
344	1.467671994
345	1.467049556
346	1.461985779
347	1.460795643
348	1.460289056
349	1.455276629
350	1.453744463
351	1.450064462
352	1.447238939
353	1.444094308
354	1.440615577
355	1.438145998
356	1.43693091
357	1.433343994
358	1.430885406
359	1.427164503
360	1.424912743
361	1.423800869
362	1.421502464
363	1.418006786
364	1.414384019
365	1.408458072
366	1.404621021
367	1.401337314
368	1.398458389
369	1.397189329
370	1.395606054
371	1.39211241
372	1.389226642
373	1.386552738
374	1.385059195
375	1.384364189
376	1.381261894
377	1.378651492
378	1.377067829
379	1.37610183
380	1.375579475
381	1.374434566
382	1.371286009
383	1.370137626
384	1.366635193
385	1.36255166
386	1.359164598
387	1.358325504
388	1.357473261
389	1.355474502
390	1.352644586
391	1.350480236
392	1.347268301
393	1.343315874
394	1.339322578
395	1.337343715
396	1.331624327
397	1.328320845
398	1.325059461
399	1.324195763
400	1.321430035
401	1.319324839
402	1.318498893
403	1.314904602
404	1.314150716
405	1.311868102
406	1.310947271
407	1.308414668
408	1.307589261
409	1.303318747
410	1.302054007
411	1.301353593
412	1.298972139
413	1.295394269
414	1.292039428
415	1.288721798
416	1.285939926
417	1.282962417
418	1.280271348
419	1.278139067
420	1.273129315
421	1.27073391
422	1.269379326
423	1.267539506
424	1.266953216
425	1.263251918
426	1.261566357
427	1.261013148
428	1.257671887
429	1.255590032
430	1.253716797
431	1.249582108
432	1.247729875
433	1.245643153
434	1.244937777
435	1.241930144
436	1.238223219
437	1.233924989
438	1.2308915
439	1.229156597
440	1.227468949
441	1.223649673
442	1.222747561
443	1.220699646
444	1.217841519
445	1.215051301
446	1.213549262
447	1.210631445
448	1.207958048
449	1.204507892
450	1.200913645
451	1.197082251
452	1.194235451
453	1.191778358
454	1.189255522
455	1.18671937
456	1.186391036
457	1.182365212
458	1.179167387
459	1.176357466
460	1.175922961
461	1.172550282
462	1.169117464
463	1.165885907
464	1.162779649
465	1.160445039
466	1.158087319
467	1.155693506
468	1.151946208
469	1.15049373
470	1.149093121
471	1.14645874
472	1.143386039
473	1.140067747
474	1.136672194
475	1.133901052
476	1.131942392
477	1.130369617
478	1.128433685
479	1.126273853
480	1.123355197
481	1.119871687
482	1.117455194
483	1.114341337
484	1.111621034
485	1.109229885
486	1.107235284
487	1.104748513
488	1.104027513
489	1.103332599
490	1.101897947
491	1.098959547
492	1.096699912
493	1.094102765
494	1.092402682
495	1.091534618
496	1.090664513
497	1.088166416
498	1.086370351
499	1.083223762
500	1.081247801
501	1.078452698
502	1.075889821
503	1.072436074
504	1.069948544
505	1.067912967
506	1.0656445
507	1.064579505
508	1.061282498
509	1.058899773
510	1.056905003
511	1.053295816
512	1.051295738
513	1.049348451
514	1.046745935
515	1.045885438
516	1.043550289
517	1.041866139
518	1.039891219
519	1.037649073
520	1.035915338
521	1.033823123
522	1.030917176
523	1.029298753
524	1.027580557
525	1.025497354
526	1.022953381
527	1.020905421
528	1.019822703
529	1.018161361
530	1.016275715
531	1.01430881
532	1.012044682
533	1.008734713
534	1.007381721
535	1.004570378
536	1.002611009
537	1.00178354
538	0.9995414307
539	0.996715408
540	0.9951299306
541	0.9933137148
542	0.9908569399
543	0.98952546
544	0.9878922635
545	0.9864847958
546	0.9851727167
547	0.9827790771
548	0.9797605483
549	0.9768831377
550	0.974868576
551	0.9727066522
552	0.9705526879
553	0.968481897
554	0.9677437948
555	0.9666683625
556	0.9657482988
557	0.9644302282
558	0.9626766106
559	0.9609957481
560	0.9585279477
561	0.9578836412
562	0.9555156884
563	0.9533593324
564	0.9515381644
565	0.9502533972
566	0.9479572958
567	0.9471515778
568	0.9447182648
569	0.9439163132
570	0.9432427708
571	0.9410172692
572	0.9386804725
573	0.936060285
574	0.9352093544
575	0.9340271764
576	0.9335155376
577	0.9310667208
578	0.9294163622
579	0.9278102496
580	0.9269860677
581	0.9254497996
582	0.9238785605
583	0.9221421273
584	0.9204640339
585	0.9178350346
586	0.9160206753
587	0.914383521
588	0.9121227909
589	0.9115320435
590	0.9100235439
591	0.9084796694
592	0.9066519562
593	0.9038941839
594	0.9012973388
595	0.8992931316
596	0.8981273496
597	0.8969815278
598	0.895071621
599	0.8940074427
600	0.8921623529
601	0.8903767623
602	0.8874762617
603	0.8867285835
604	0.8849958977
605	0.8831600417
606	0.8806468883
607	0.8784424283
608	0.8755138881
609	0.8729724539
610	0.8724882483
611	0.8699260124
612	0.8680226191
613	0.8675586652
614	0.8663796369
615	0.8638481764
616	0.8616048961
617	0.8589868543
618	0.8570877534
619	0.8553585713
620	0.8543551541
621	0.8524765139
622	0.8502638156
623	0.8475079159
624	0.8454202333
625	0.8430091347
626	0.8409555777
627	0.8404264607
628	0.8392573674
629	0.8371573363
630	0.8361109983
631	0.8332761548
632	0.8316518606
633	0.8305662584
634	0.8295191084
635	0.82750677
636	0.8251230884
637	0.8236287998
638	0.8231029753
639	0.8221256922
640	0.8211084393
641	0.8207239204
642	0.8195893541
643	0.8182331765
644	0.8161150737
645	0.8157705884
646	0.8143635782
647	0.8126780945
648	0.8105428216
649	0.8084702435
650	0.8073051655
651	0.8064042525
652	0.8046393164
653	0.8027722102
654	0.8019084939
655	0.8013805501
656	0.7993998841
657	0.7980053171
658	0.7965843307
659	0.7951991067
660	0.7940017444
661	0.7924320432
662	0.7903148857
663	0.790061852
664	0.7896116668
665	0.7880440656
666	0.7869592136
667	0.786614894
668	0.7856106223
669	0.7842450029
670	0.7837344712
671	0.7833255573
672	0.7818568606
673	0.7804346731
674	0.7788414732
675	0.7781380512
676	0.777395684
677	0.7753431417
678	0.7732877163
679	0.7716825114
680	0.7694427298
681	0.7681889976
682	0.7668386139
683	0.7650890619
684	0.763903417
685	0.7623772124
686	0.7607593965
687	0.7589814228
688	0.7577850649
689	0.7569107025
690	0.7559836441
691	0.7551037099
692	0.753806485
693	0.7530859526
694	0.7510239205
695	0.7502584253
696	0.748697755
697	0.7468322505
698	0.7439094624
699	0.7424840139
700	0.740935314
701	0.7395227078
702	0.7391387265
703	0.7384160564
704	0.7371570791
705	0.7357342457
706	0.7345974256
707	0.73385222
708	0.7320653994
709	0.7307379636
710	0.730503831
711	0.7300436312
712	0.7289605839
713	0.7275254864
714	0.7265591815
715	0.7253389671
716	0.7235487473
717	0.7223309857
718	0.7205572241
719	0.7201752157
720	0.7181964501
721	0.7172647152
722	0.7160059748
723	0.7149854651
724	0.7122872737
725	0.7110090532
726	0.7096413951
727	0.7088302059
728	0.7077297766
729	0.7067886932
730	0.7051767792
731	0.7036198716
732	0.7022493123
733	0.7019241726
734	0.7000086233
735	0.6992371904
736	0.6985532677
737	0.6968198607
738	0.6953278823
739	0.6941161758
740	0.6929087456
741	0.6923933204
742	0.6913366307
743	0.6905561719
744	0.6889204886
745	0.6887297539
746	0.6881063034
747	0.6866587221
748	0.6858332836
749	0.6848546992
750	0.6846036428
751	0.6832556157
752	0.6824222158
753	0.6805523283
754	0.6788634501
755	0.6778405651
756	0.6766067944
757	0.6756988566
758	0.6749609022
759	0.6730836891
760	0.6723937463
761	0.6715264992
762	0.6702696264
763	0.6690425241
764	0.6680737136
765	0.6668036049
766	0.6657196159
767	0.6651717444
768	0.663599198
769	0.6621430533
770	0.6611344101
771	0.6606822735
772	0.6591877422
773	0.6586911844
774	0.656038591
775	0.6554417349
776	0.6549441959
777	0.654614442
778	0.6530207267
779	0.6516593777
780	0.6511137341
781	0.6495924244
782	0.6484846896
783	0.6466301205
784	0.6449060721
785	0.6446670064
786	0.6434319483
787	0.6421457632
788	0.6418073389
789	0.6408556319
790	0.6398034836
791	0.638911025
792	0.6381468295
793	0.636458528
794	0.6356598576
795	0.635444541
796	0.6350589466
797	0.6349256699
798	0.6338646949
799	0.6330633762
800	0.6321711102
801	0.6316137624
802	0.6307485644
803	0.6296271264
804	0.6280913425
805	0.6268977901
806	0.6264394103
807	0.6248312329
808	0.6243182751
809	0.6234454285
810	0.6226404705
811	0.6223588428
812	0.6214689686
813	0.6198424166
814	0.6192584782
815	0.6187754604
816	0.6174612607
817	0.616793495
818	0.6161114832
819	0.6155292128
820	0.6150822081
821	0.6143575603
822	0.6136590694
823	0.6124291647
824	0.6109962396
825	0.609905391
826	0.6095114971
827	0.6091104769
828	0.6080599933
829	0.6067623055
830	0.6044708902
831	0.6031525794
832	0.6014568134
833	0.6000211705
834	0.5989836439
835	0.5983332639
836	0.5979581695
837	0.5964393826
838	0.5949913823
839	0.594692641
840	0.5940494052
841	0.5928134282
842	0.5918995179
843	0.5911432719
844	0.5907570161
845	0.5903019307
846	0.5894075537
847	0.5889519481
848	0.5875813746
849	0.5871416507
850	0.5859902216
851	0.584601318
852	0.5841119347
853	0.5822184075
854	0.5806280925
855	0.5803176475
856	0.5799420576
857	0.5786445921
858	0.5777578428
859	0.5764341555
860	0.5762323984
861	0.5752389168
862	0.5745267218
863	0.57352649
864	0.5733416629
865	0.5725199071
866	0.5710302237
867	0.5706322417
868	0.5703139146
869	0.5696687064
870	0.5694704618
871	0.5681173534
872	0.5668037228
873	0.5661849379
874	0.5653625802
875	0.5641216608
876	0.5639332912
877	0.5630619594
878	0.5617290603
879	0.5610841148
880	0.5601218903
881	0.558808282
882	0.5583769006
883	0.5575821834
884	0.5566641693
885	0.5547064236
886	0.5535735778
887	0.5520403126
888	0.5507374991
889	0.5496055464
890	0.5484422125
891	0.5473198555
892	0.5461598121
893	0.5450005903
894	0.5434831632
895	0.5420981589
896	0.540551133
897	0.5400304178
898	0.539591358
899	0.5387896066
900	0.537487394
901	0.5364101748
902	0.535930349
903	0.53494459
904	0.533150121
905	0.5328712916
906	0.5319708197
907	0.5312456208
908	0.5301975834
909	0.5293766004
910	0.5290261994
911	0.5284573888
912	0.5268675546
913	0.5260297705
914	0.5249067904
915	0.5235218518
916	0.5227257337
917	0.5219062102
918	0.5210369385
919	0.5198495662
920	0.519339311
921	0.5184596308
922	0.517138283
923	0.5163571406
924	0.5153679036
925	0.5143598824
926	0.5139043052
927	0.5134838376
928	0.5122170925
929	0.51078639
930	0.5090430352
931	0.5083084506
932	0.5072154628
933	0.5058529875
934	0.5050128099
935	0.5048473592
936	0.5038667346
937	0.5031027252
938	0.5021965551
939	0.5010578972
940	0.5006939543
941	0.5002749393
942	0.499354539
943	0.4985969531
944	0.4978134459
945	0.4968489645
946	0.4965186572
947	0.4957364782
948	0.4950851241
949	0.4934194709
950	0.4927180856
951	0.4925395207
952	0.4918841205
953	0.4902080521
954	0.490030952
955	0.4896225534
956	0.4888356261
957	0.488085827
958	0.4875565118
959	0.4874292411
960	0.4861320365
961	0.4851560736
962	0.484474193
963	0.483305991
964	0.4827143792
965	0.4819428151
966	0.4811555328
967	0.4808649123
968	0.4802441255
969	0.4794915604
970	0.47931714
971	0.4787156076
972	0.4775641904
973	0.4768994063
974	0.4762041195
975	0.4750711387
976	0.4747557159
977	0.474178437
978	0.4738942218
979	0.4733085824
980	0.4720579558
981	0.4716679085
982	0.4706408015
983	0.4700815575
984	0.4690353748
985	0.4687852169
986	0.4684438225
987	0.467842349
988	0.4669890022
989	0.4664074757
990	0.4658937984
991	0.4652481517
992	0.4647286584
993	0.4635928912
994	0.4632040522
995	0.4616643023
996	0.4607290053
997	0.4594771171
998	0.4593426522
999	0.4584486422
