iter	Passed	Remaining
0	1	1765
1	3	1566
2	5	1827
3	7	1851
4	10	2171
5	12	2044
6	13	1947
7	15	1868
8	16	1807
9	17	1769
10	19	1730
11	21	1746
12	22	1715
13	23	1686
14	25	1664
15	26	1641
16	28	1624
17	29	1609
18	30	1594
19	32	1575
20	33	1559
21	34	1548
22	36	1562
23	38	1552
24	39	1541
25	41	1542
26	42	1540
27	44	1544
28	46	1543
29	47	1543
30	49	1541
31	51	1548
32	53	1567
33	55	1572
34	57	1576
35	58	1579
36	60	1580
37	62	1582
38	64	1585
39	66	1587
40	67	1589
41	69	1594
42	71	1588
43	73	1586
44	74	1582
45	75	1574
46	77	1566
47	78	1560
48	80	1555
49	81	1555
50	83	1549
51	85	1557
52	87	1561
53	89	1562
54	90	1561
55	92	1558
56	94	1555
57	95	1548
58	96	1542
59	98	1536
60	100	1543
61	101	1539
62	103	1539
63	105	1536
64	106	1533
65	108	1528
66	109	1523
67	110	1517
68	112	1512
69	113	1507
70	115	1507
71	117	1511
72	118	1507
73	120	1502
74	121	1498
75	122	1493
76	124	1490
77	125	1487
78	127	1490
79	130	1498
80	133	1509
81	134	1509
82	136	1505
83	137	1502
84	139	1497
85	140	1493
86	141	1489
87	143	1486
88	144	1481
89	146	1478
90	148	1481
91	149	1480
92	151	1476
93	152	1473
94	154	1469
95	155	1465
96	157	1461
97	158	1459
98	160	1456
99	161	1452
100	162	1449
101	164	1451
102	166	1447
103	167	1443
104	168	1440
105	170	1437
106	172	1436
107	173	1435
108	175	1432
109	177	1432
110	178	1430
111	180	1431
112	181	1428
113	183	1424
114	184	1422
115	186	1418
116	187	1415
117	189	1412
118	190	1410
119	191	1406
120	193	1403
121	194	1400
122	196	1402
123	198	1398
124	199	1396
125	200	1393
126	202	1391
127	203	1388
128	205	1384
129	206	1384
130	208	1381
131	209	1378
132	211	1378
133	213	1376
134	214	1373
135	215	1370
136	217	1367
137	218	1364
138	219	1362
139	221	1359
140	222	1356
141	224	1355
142	225	1352
143	227	1354
144	229	1352
145	230	1349
146	232	1346
147	233	1343
148	234	1340
149	236	1337
150	237	1335
151	238	1332
152	240	1330
153	241	1327
154	243	1328
155	245	1327
156	246	1324
157	248	1321
158	249	1319
159	250	1316
160	252	1314
161	253	1311
162	254	1309
163	256	1307
164	258	1306
165	260	1307
166	261	1304
167	262	1302
168	264	1299
169	266	1300
170	267	1297
171	269	1295
172	270	1292
173	271	1289
174	272	1286
175	274	1283
176	276	1284
177	277	1281
178	278	1278
179	279	1275
180	281	1272
181	282	1269
182	283	1266
183	284	1263
184	286	1260
185	287	1257
186	288	1254
187	289	1251
188	291	1250
189	292	1248
190	294	1245
191	295	1242
192	296	1239
193	298	1239
194	299	1236
195	300	1233
196	301	1230
197	303	1227
198	304	1224
199	305	1222
200	307	1222
201	308	1219
202	309	1216
203	311	1214
204	312	1211
205	313	1208
206	314	1205
207	315	1203
208	317	1200
209	318	1197
210	319	1195
211	320	1192
212	322	1189
213	323	1189
214	325	1187
215	326	1184
216	327	1181
217	328	1179
218	329	1176
219	331	1174
220	332	1171
221	333	1169
222	334	1166
223	336	1164
224	337	1161
225	338	1159
